Time(h),Connected UEs
0.005655526992287,4
0.3290488431876606,4
0.6786632390745501,4
0.9460154241645244,4
1.3161953727506426,4
1.5424164524421593,4
1.8920308483290489,4
2.056555269922879,4
2.38560411311054,4
2.6735218508997427,4
3.0025706940874035,4
3.0848329048843186,4
3.3110539845758358,4
3.6606683804627247,4
4.0719794344473,4
4.5038560411311055,4
4.93573264781491,4
5.26478149100257,4
5.573264781491003,4
5.820051413881748,4
6.107969151670951,4
6.478149100257069,4
6.889460154241645,4
7.30077120822622,4
7.547557840616966,4
7.835475578406169,4
8.082262210796914,4
8.452442159383033,4
8.678663239074549,4
8.946015424164523,4
9.254498714652955,4
9.68637532133676,4
10.01542416452442,4
10.323907455012852,4
10.611825192802057,4
10.87917737789203,4
11.167095115681231,4
11.475578406169666,4
11.72236503856041,4
11.928020565552698,4
12.092544987146528,4
12.359897172236504,4
12.56555269922879,4
12.812339331619537,4
13.141388174807195,4
13.44987146529563,4
13.799485861182518,4
14.10796915167095,4
14.251928020565552,4
14.45758354755784,4
14.724935732647811,4
14.97172236503856,4
15.13624678663239,4
15.383033419023135,4
15.773778920308482,4
15.97943444730077,4
16.226221079691516,4
16.452442159383033,4
16.699228791773777,4
17.00771208226221,4
17.233933161953725,4
17.480719794344473,4
17.727506426735218,4
17.99485861182519,4
18.077120822622103,4
18.17994858611825,4
18.262210796915166,4
18.46786632390745,4
18.7146529562982,4
18.961439588688943,4
19.49614395886889,4
19.722365038560408,4
19.989717223650384,4
20.23650385604113,4
20.503856041131105,4
20.647814910025705,4
20.73007712082262,4
20.956298200514137,4
21.24421593830334,4
21.470437017994858,4
21.73778920308483,4
21.84061696658097,4
21.902313624678666,4
21.984575835475574,4
22.25192802056555,4
22.45758354755784,4
22.60154241645244,4
22.76606683804627,4
22.95115681233933,4
23.177377892030847,4
23.362467866323907,4
23.547557840616964,4
23.77377892030848,4
